title,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Price
Vauxhall Grandland X,67748,2018,0,Petrol,SUV,1.2L,Manual,5,5,Euro 6,11440
Volkswagen Polo,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1895
Vauxhall Astra,28408,2005,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3195
Audi A4,80000,2012,0,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,7990
Ford Fiesta,59800,2017,3,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,10995
Ford Focus CC,68272,2007,0,Petrol,Convertible,2.0L,Manual,2,4,Euro 4,2495
Smart Forfour,51000,2016,4,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,5595
Toyota Avensis,98235,2018,2,Diesel,Saloon,1.6L,Manual,4,5,Euro 6,7989
Volkswagen Golf,100000,2015,2,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,8650
Audi A6 Saloon,94000,2011,4,Diesel,Saloon,2.0L,Manual,4,5,Euro 5,5995
Vauxhall Corsa,79011,2007,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,2995
Honda Civic,76680,2010,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,4550
Jeep Grand Cherokee,125000,2008,4,Diesel,SUV,3.0L,Automatic,5,5,Euro 4,2995
Volkswagen Polo,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1895
Vauxhall Corsa,47988,2009,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,2995
Toyota Yaris,81224,2006,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,2995
Nissan Micra,81025,2009,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,2495
Alfa Romeo Giulietta,90851,2011,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,3995
Audi A6,66229,2017,1,Diesel,Saloon,2.0L,Automatic,4,5,Euro 6,16995
Hyundai i30,39406,2017,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,10750
SEAT Ibiza,65946,2013,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,5249
Vauxhall Corsa,49954,2013,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,5100
BMW 5 Series,140000,2012,3,Diesel,Estate,2.0L,Manual,5,5,Euro 5,4999
Mercedes-Benz A Class,82000,2015,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,7777
Vauxhall Corsa,27500,2016,2,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,8500
Mitsubishi Lancer,76988,2011,2,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,4500
Renault Clio,120863,2012,0,Petrol,Hatchback,1.1L,Manual,3,5,Euro 5,1990
Toyota Yaris,81224,2006,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,2995
Fiat 500C,87986,2010,0,Petrol,Convertible,1.2L,Manual,2,4,Euro 5,3995
MG ZT,6,2004,4,Petrol,Saloon,1.8L,Manual,4,5,Euro 3,15500
BMW X3,96541,2009,1,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,5595
Nissan Juke,20194,2020,0,Petrol,SUV,1.0L,Manual,5,5,Euro 6,13998
BMW X1,82000,2014,0,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,10500
KIA Sportage,82000,2013,3,Diesel,SUV,1.7L,Manual,5,5,Euro 5,6895
Toyota Yaris,98172,2008,3,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,2895
Volkswagen Passat,140735,2015,2,Diesel,Estate,2.0L,Manual,5,5,Euro 6,6995
Vauxhall Corsa,84000,2013,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,3695
BMW X6,63000,2014,0,Diesel,SUV,3.0L,Automatic,5,4,Euro 5,16000
Audi A3,139225,2012,3,Diesel,Hatchback,null,Automatic,null,null,null,5750
Subaru Impreza,130100,2001,5,Petrol,Saloon,2.0L,Manual,4,5,Euro 2,2395
Ford Focus,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,10970
Toyota Yaris,81224,2006,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,2995
Proton Proton,15760,1995,0,Petrol,Hatchback,1.5L,Manual,5,null,Euro 1,3995
BMW 2 Series,78000,2014,0,Diesel,Coupe,2.0L,Automatic,2,4,Euro 6,13444
Ford Fiesta,71898,2014,2,Petrol,Hatchback,1.0L,Manual,3,5,Euro 5,4950
Volkswagen Polo,68000,2008,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,2995
Volkswagen Touran,144000,2012,3,Diesel,MPV,1.6L,Manual,5,7,Euro 5,4000
BMW 3 Series,94000,2015,0,Diesel,Saloon,2.0L,Manual,4,5,Euro 6,11750
KIA RIO,84000,2017,2,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,6995
MINI Hatch,106289,2011,1,Petrol,Hatchback,1.6L,Manual,3,4,Euro 5,4995
Ford Fiesta,77900,2009,7,Diesel,Hatchback,1.4L,Manual,5,5,Euro 4,3495
Vauxhall Vectra,52200,2007,0,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,2250
Toyota Yaris,81224,2006,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,2995
Toyota IQ,85489,2009,0,Petrol,Hatchback,1.3L,Manual,3,4,Euro 4,3495
Honda Jazz,50213,2011,2,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,5395
Vauxhall Corsa,69400,2006,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1995
Peugeot 2008,46107,2014,0,Diesel,SUV,1.4L,Manual,5,5,Euro 5,5995
Toyota Yaris,81224,2006,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,2995
Peugeot 3008,9669,2019,1,Diesel,SUV,1.5L,Manual,5,5,Euro 6,17990
Mercedes-Benz SLK,93000,2007,5,Petrol,Convertible,1.8L,Automatic,2,2,Euro 4,3295
Volkswagen Polo Hatchback,60800,2015,2,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,8175
Abarth Fiat 595 1.4 Tjet (165ps) Scorpioneoro,17670,2020,1,Petrol,Hatchback,1.4L,Manual,3,4,Euro 6,17000
Citroen C3,60000,2017,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,8290
Ford C-max,104000,2013,0,Diesel,MPV,1.6L,Manual,5,5,Euro 5,3895
Volvo V70,274100,2004,6,Petrol,Estate,2.4L,Automatic,5,5,Euro 3,795
Toyota IQ,85489,2009,0,Petrol,Hatchback,1.3L,Manual,3,4,Euro 4,3495
Vauxhall Corsa,47988,2009,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,2995
BMW X1,67000,2010,3,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,7495
Nissan Micra,43500,2015,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,3150
Ford Focus,47000,2012,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,6990
Ford Focus,102000,2013,2,Diesel,Estate,1.6L,Manual,5,5,Euro 5,3995
Nissan Micra,96000,2005,3,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1695
Jaguar XE,72000,2016,0,Petrol,Saloon,2.0L,Automatic,4,5,Euro 6,11995
Vauxhall Insignia,84800,2016,0,Diesel,Hatchback,2.0L,Manual,5,5,Euro 6,7637
MINI Hatch Cooper,82250,2014,0,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,7490
Dacia Sandero Stepway,48000,2016,0,Petrol,Hatchback,0.9L,Manual,5,5,Euro 6,5495
SEAT Leon,51733,2014,3,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,7295
Vauxhall Vectra,52200,2007,0,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,2250
Vauxhall Corsa,47988,2009,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,2995
Vauxhall Adam,67000,2014,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,4990
Mercedes-Benz E Class,74854,2014,0,Diesel,Saloon,2.1L,Automatic,4,5,Euro 5,9949
Jaguar X-type,102000,2008,3,Diesel,Saloon,2.0L,Manual,4,5,Euro 4,1650
Toyota Auris,67995,2008,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,3500
Ford Fiesta,56883,2011,3,Diesel,Hatchback,1.6L,Manual,3,5,Euro 5,5234
BMW 1 Series,58214,2014,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 6,8099
Toyota Yaris,92000,2006,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 4,2395
Ford Focus,60650,2019,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,10195
Nissan Micra,55390,2017,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,8079
Vauxhall Astra GTC,116000,2014,2,Diesel,Coupe,2.0L,Manual,3,5,Euro 5,3295
Vauxhall Vectra,52200,2007,0,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,2250
Toyota IQ,85489,2009,0,Petrol,Hatchback,1.3L,Manual,3,4,Euro 4,3495
Vauxhall Adam,67000,2014,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,4990
BMW 1 Series,54000,2019,1,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,14695
Hyundai ix35,93000,2014,3,Diesel,SUV,1.7L,Manual,5,5,Euro 5,6490
Volvo V60,72000,2014,0,Diesel,Estate,1.6L,Manual,5,5,Euro 5,8495
BMW 4 Series Gran Coupe,77600,2014,4,Diesel,Hatchback,2.0L,Manual,5,5,Euro 6,12950
KIA Stonic,12875,2022,0,Petrol Hybrid,SUV,1.0L,Manual,5,5,Euro 6,18750
Toyota Verso,60582,2012,0,Diesel,MPV,2.0L,Manual,5,7,Euro 5,5395
BMW 1 Series,118000,2010,4,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,5500
Suzuki Alto,83000,2014,1,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,2495
Land Rover Freelander 2,143000,2007,5,Diesel,SUV,2.2L,Manual,5,5,Euro 4,2875
Audi A6,72894,2012,2,Diesel,Saloon,3.0L,Automatic,4,5,Euro 5,10995
Ford Fiesta,42800,2007,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,2490
Vauxhall Adam,67000,2014,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,4990
Audi A4,80000,2012,0,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,7990
Toyota Prius+,55000,2012,1,Petrol Hybrid,MPV,1.8L,Automatic,5,7,null,9495
SKODA Fabia,79972,2006,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,2499
Toyota Yaris,95200,2006,5,Diesel,Hatchback,1.4L,Automatic,5,5,Euro 4,3550
Land Rover Freelander 2,122000,2012,3,Diesel,SUV,2.2L,Automatic,5,5,Euro 5,7547
Peugeot RCZ,46284,2014,0,Petrol,Coupe,1.6L,Automatic,2,4,Euro 5,8990
Peugeot 207,59000,2012,2,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,2950
Mercedes-Benz E Class,32000,2011,0,Diesel,Saloon,2.1L,Automatic,4,5,Euro 5,9490
KIA Proceed,77570,2014,4,Diesel,Hatchback,1.6L,Manual,3,5,Euro 5,5995
Vauxhall Astra,81222,2011,0,Diesel,Hatchback,2.0L,Automatic,5,5,Euro 5,4495
Volkswagen Scirocco,108582,2011,0,Diesel,Hatchback,2.0L,Manual,3,4,Euro 5,5695
Ford Focus,113187,2008,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,1499
Audi A4,80000,2012,0,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,7990
Toyota Yaris,81224,2006,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,2995
Suzuki Alto,45000,2014,2,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,3995
Toyota Yaris,85693,2008,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,2395
Mercedes-Benz C Class,50000,2011,5,Diesel,Coupe,2.1L,Automatic,2,4,Euro 5,8990
Audi A6 Avant,139142,2007,5,Diesel,Estate,3.0L,Automatic,5,5,Euro 4,3290
Renault Clio,53000,2014,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,6495
Chevrolet Spark,85556,2011,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,2495
Hyundai i30,83650,2015,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,6250
BMW 3 Series,67000,2011,5,Petrol,Saloon,2.0L,Automatic,4,5,Euro 5,9800
Honda Civic,113000,2009,4,Petrol,Hatchback,2.0L,Manual,3,4,Euro 4,3695
DS Automobiles DS 7 CROSSBACK,94000,2018,2,Diesel,SUV,2.0L,Automatic,5,5,Euro 6,14900
Subaru Impreza,130100,2001,5,Petrol,Saloon,2.0L,Manual,4,5,Euro 2,2395
Vauxhall Adam,67000,2014,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,4990
Ford Focus,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,10970
Mercedes-Benz A Class,37334,2015,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,10975
Ford C-max,46760,2014,0,Diesel,MPV,1.6L,Manual,5,5,Euro 5,7390
Ford Ecosport,96600,2016,2,Petrol,SUV,1.0L,Manual,5,5,Euro 5,5990
Land Rover Range Rover Sport,132000,2007,0,Diesel,SUV,2.7L,Automatic,5,5,Euro 4,3999
Hyundai Getz,75290,2006,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,1895
Ford KA,89390,2014,4,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,3300
Vauxhall Astra,90000,2013,4,Diesel,Estate,1.7L,Manual,5,5,Euro 5,3950
Mercedes-Benz A Class,93000,2015,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,8595
MINI Hatch,46000,2010,0,Petrol,Hatchback,1.6L,Manual,3,4,Euro 5,5195
Toyota Yaris,65414,2014,0,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,6150
Peugeot 407,144100,2007,4,Diesel,Saloon,2.0L,Manual,4,5,Euro 4,995
Ford Focus,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,10970
Vauxhall Astra,61038,2007,0,Petrol,Hatchback,1.6L,Manual,3,5,Euro 4,2995
Vauxhall Meriva,94000,2014,0,Petrol,MPV,1.4L,Manual,5,5,Euro 5,4295
Fiat 500,49485,2017,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,6970
Mazda MAZDA 2,64818,2016,2,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,6950
Nissan Juke,58277,2014,2,Petrol,SUV,1.6L,Manual,5,5,Euro 5,7470
Mazda CX-5,73000,2012,2,Diesel,SUV,2.2L,Manual,5,5,Euro 6,7495
Volkswagen Polo,71000,2013,2,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,5950
Peugeot 2008,40800,2021,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,15990
Ford Focus,74717,2012,5,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,4670
Toyota Prius,66000,2012,0,Petrol Hybrid,Hatchback,null,Automatic,null,null,null,8950
Volkswagen Polo,54500,2012,2,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,6750
Vauxhall Astra,136842,2014,1,Diesel,Estate,1.6L,Manual,5,5,Euro 6,2500
Vauxhall Astra,61038,2007,0,Petrol,Hatchback,1.6L,Manual,3,5,Euro 4,2995
Audi A4,80000,2012,0,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,7990
BMW X5,135000,2004,1,Diesel,SUV,3.0L,Automatic,5,5,Euro 4,4450
BMW 5 Series,51000,2012,0,Diesel,Saloon,2.0L,Automatic,4,5,Euro 5,9490
Ford Mondeo,83000,2011,0,Petrol,Hatchback,2.0L,Manual,5,5,Euro 5,3995
Hyundai i40,87000,2013,5,Diesel,Estate,1.7L,Automatic,5,5,Euro 5,6495
Land Rover Freelander 2,106000,2012,5,Diesel,SUV,2.2L,Manual,5,5,Euro 5,7250
Fiat Panda,94000,2009,3,Petrol,Hatchback,1.2L,Manual,5,4,Euro 4,1700
Audi A3,90000,2014,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,9850
Vauxhall Insignia,119000,2015,0,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,3995
Volkswagen Jetta,39488,2013,2,Diesel,Saloon,1.6L,Manual,4,5,Euro 5,7350
BMW 4 Series,70950,2013,0,Diesel,Coupe,2.0L,Automatic,2,4,Euro 6,10495
Renault Clio,120863,2012,0,Petrol,Hatchback,1.1L,Manual,3,5,Euro 5,1990
Audi A4,80000,2012,0,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,7990
Vauxhall Astra,28408,2005,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3195
Toyota Yaris,55000,2014,2,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,7000
BMW 3 SERIES,83000,2013,0,Diesel,Saloon,2.0L,Automatic,4,5,Euro 5,9850
Mercedes-Benz E Class,111000,2015,3,Diesel,Coupe,2.1L,Automatic,2,4,Euro 6,8500
MINI Hatch Cooper,58000,2013,0,Petrol,Hatchback,1.6L,Manual,3,4,Euro 5,7760
Volkswagen Golf,79000,2020,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,11995
Toyota Yaris,77000,2002,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 3,1895
Vauxhall Zafira,41163,2014,0,Petrol,MPV,1.8L,Manual,5,7,Euro 4,6990
Peugeot 308,30106,2017,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,9499
Honda Jazz,84641,2006,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1995
Volkswagen Tiguan,60000,2020,1,Petrol,SUV,1.5L,Manual,5,5,Euro 6,15995
Renault Clio,120863,2012,0,Petrol,Hatchback,1.1L,Manual,3,5,Euro 5,1990
Vauxhall Astra,28408,2005,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3195
Vauxhall Adam,67000,2014,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,4990
Fiat 500,59623,2014,2,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,5940
Citroen C4 PICASSO,64715,2008,0,Diesel,MPV,1.6L,Automatic,5,5,Euro 4,3795
Ford Fiesta,54442,2009,1,Diesel,Hatchback,1.4L,Manual,5,5,Euro 4,3995
Mercedes-Benz S-class,64000,2002,0,Diesel,Saloon,3.2L,Automatic,4,4,Euro 2,3795
SEAT Ibiza,22000,2014,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,7149
Mercedes-Benz C Class,63000,2003,0,Petrol,Coupe,1.8L,Automatic,2,4,Euro 3,2890
BMW 3 Series,177000,2010,4,Diesel,Coupe,3.0L,Manual,2,4,Euro 5,5495
Hyundai i20,66018,2012,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,4650
Land Rover Range Rover Evoque,80000,2013,4,Diesel,SUV,2.2L,Automatic,5,5,Euro 5,13993
Volkswagen Passat,80000,2016,2,Diesel,Saloon,2.0L,Manual,4,5,Euro 6,9750
Volkswagen Polo,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1895
Vauxhall Astra,61038,2007,0,Petrol,Hatchback,1.6L,Manual,3,5,Euro 4,2995
Vauxhall Astra,28408,2005,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3195
Volkswagen Golf,78000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,11995
Peugeot 208,10067,2020,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,14975
Vauxhall Astra,68000,2015,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,6000
DS Automobiles DS 9,16864,2021,1,Petrol Plug-in Hybrid,Saloon,1.6L,Automatic,4,5,Euro 6,24770
Volkswagen Polo,80786,2010,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,5190
Audi A1,41085,2017,2,Petrol,Hatchback,1.4L,Manual,3,4,Euro 6,10000
Suzuki Alto,77000,2010,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,2495
Volkswagen Golf,106408,2012,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,4725
Vauxhall Corsa,34960,2015,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,6949
Lexus SC 430,121000,2001,1,Petrol,Convertible,4.3L,Automatic,2,4,Euro 3,4195
Ford Fiesta,42800,2007,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,2490
Fiat 500C,87986,2010,0,Petrol,Convertible,1.2L,Manual,2,4,Euro 5,3995
Vauxhall Astra,28408,2005,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3195
Fiat 500,35912,2017,2,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,7988
Mazda MX-30,13865,2021,0,Electric,SUV,null,Automatic,5,5,null,13899
Ford Focus,59300,2016,3,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,7499
BMW 5 Series,100200,2007,4,Petrol,Saloon,2.5L,Automatic,4,5,Euro 4,3950
Volkswagen Golf,52000,2018,0,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 6,13995
SKODA Octavia,197790,2013,4,Diesel,Estate,2.0L,Manual,5,5,Euro 5,4995
Mercedes-Benz CL,90000,2007,3,Petrol,Coupe,5.5L,Automatic,2,4,Euro 4,10000
Volkswagen Golf,62500,2007,1,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3795
Audi A1,89484,2012,5,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 5,7950
Volkswagen Polo,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1895
Vauxhall Astra,28408,2005,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3195
Vauxhall Adam,67000,2014,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,4990
Mercedes-Benz C Class,64806,2016,0,Diesel,Coupe,2.1L,Automatic,2,4,Euro 6,16880
Subaru XV,41000,2012,0,Petrol,SUV,1.6L,Manual,5,5,Euro 5,7995
KIA Ceed,18150,2020,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,14450
Nissan Qashqai,93500,2014,0,Diesel,SUV,1.5L,Manual,5,5,Euro 5,6995
Peugeot 3008,68000,2013,2,Diesel,SUV,1.6L,Manual,5,5,Euro 5,5495
Volkswagen Polo,74670,2017,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,8195
Volkswagen Golf,121709,2014,3,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,6319
Peugeot 2008,52180,2018,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,5999
Honda Civic,50000,2018,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,12790
Volkswagen Polo,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1895
Fiat 500C,87986,2010,0,Petrol,Convertible,1.2L,Manual,2,4,Euro 5,3995
Vauxhall Astra,28408,2005,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3195
KIA Picanto,71700,2012,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,3750
MINI Hatch Cooper,60000,2012,2,Diesel,Hatchback,2.0L,Automatic,3,4,Euro 5,7489
Vauxhall Astra,94835,2002,3,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,1600
Chevrolet Spark,66790,2013,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,1795
Vauxhall Mokka,64548,2015,0,Diesel,SUV,1.7L,Manual,5,5,Euro 5,6940
Nissan Qashqai,92016,2014,4,Petrol,SUV,1.2L,Manual,5,5,Euro 5,6399
Audi A3,106420,2002,4,Petrol,Hatchback,1.8L,Manual,3,5,Euro 3,2399
Peugeot 3008,17495,2017,3,Petrol,SUV,1.2L,Manual,5,5,Euro 6,15350
BMW 1 SERIES,57839,2019,2,Diesel,Hatchback,1.5L,Automatic,5,5,Euro 6,15970
Volkswagen Polo,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1895
Vauxhall Astra,28408,2005,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3195
Vauxhall Astra,28408,2005,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3195
Audi Q3,103200,2014,0,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,8995
Porsche Cayenne,112000,2009,4,Diesel,SUV,3.0L,Automatic,5,5,Euro 4,8105
Hyundai Tucson,25162,2021,3,Petrol Hybrid,SUV,1.6L,Manual,5,5,Euro 6,20500
Honda Cr-v,86000,2015,4,Diesel,SUV,2.2L,Manual,5,5,Euro 5,9995
Hyundai i30,120635,2013,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,4040
Hyundai Santa FE,146000,2014,2,Diesel,SUV,2.2L,Manual,5,5,Euro 5,6995
Toyota Prius,72000,2012,1,Petrol Hybrid,Hatchback,1.8L,Automatic,null,5,null,6350
Peugeot 508 SW,33225,2020,1,Diesel,Estate,1.5L,Automatic,5,5,Euro 6,18855
Toyota Yaris,60438,2012,3,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 5,7400
Vauxhall Vectra,52200,2007,0,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,2250
Fiat 500C,87986,2010,0,Petrol,Convertible,1.2L,Manual,2,4,Euro 5,3995
Ford Focus,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,10970
Hyundai I30,86000,2011,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,3495
SKODA Citigo,56355,2014,3,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,4999
Ford Fiesta,93752,2012,0,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,3450
SKODA Fabia,69000,2016,2,Petrol,Estate,1.0L,Manual,5,5,Euro 6,6995
Peugeot 3008,42962,2019,0,Diesel,SUV,1.5L,Manual,5,5,Euro 6,14500
Honda Civic,110000,2002,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 3,1750
Peugeot 208,77000,2012,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,3850
Ford Fiesta,70000,2016,3,Petrol,Hatchback,1.3L,Manual,3,5,Euro 6,3850
Vauxhall Adam,50000,2014,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,4495
Mazda Mazda2,84000,2008,3,Petrol,Hatchback,1.3L,Manual,3,5,Euro 4,1595
Ford Focus,111741,2010,0,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,1795
Audi A5 DIESEL COUPE,68603,2017,1,Diesel,Coupe,2.0L,Automatic,2,4,Euro 6,16555
Toyota Yaris,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5,Euro 6,13000
Peugeot 207,50668,2008,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,2190
Land Rover Freelander 2,85207,2011,1,Diesel,SUV,2.2L,Manual,5,5,Euro 5,1995
Vauxhall Corsa,92741,2009,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1995
Vauxhall Adam,114741,2013,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,3495
SKODA Fabia,115000,2012,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,3750
Peugeot 2008,94741,2015,0,Diesel,SUV,1.4L,Manual,5,5,Euro 5,3495
Ford KA,100741,2011,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 4,1995
BMW 3 Series,173006,2005,6,Diesel,Coupe,2.0L,Manual,2,5,Euro 4,1950
