title,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Price
Ford Focus,140599,2008,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,798
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
MINI Hatch,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,10000
SEAT Ibiza,99061,2011,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,2799
Mercedes-Benz A Class,184000,2009,0,Diesel,Hatchback,2.0L,Manual,5,5,Euro 4,995
BMW 5 Series,139000,2004,0,Petrol,Saloon,3.0L,Automatic,4,5,Euro 3,2950
Honda Cr-v,120000,1999,0,Petrol,SUV,2.0L,Automatic,5,5,Euro 3,1389
Proton Savvy,85000,2007,0,Petrol,Hatchback,1.2L,Manual,5,4,Euro 4,990
Vauxhall Corsa,93000,2009,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1850
Peugeot 207,51116,2008,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1990
MINI Hatch,69000,2005,0,Petrol,Hatchback,1.6L,Manual,3,4,Euro 3,2695
Nissan Micra,111998,2007,2,Petrol,Hatchback,1.2L,Automatic,3,5,Euro 4,1895
Vauxhall Astra,93101,2008,6,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,1995
Ford Focus,105000,2011,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,2950
MINI Hatch,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,10000
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Fiat Panda,45000,2010,0,Petrol,Hatchback,1.1L,Manual,5,4,Euro 4,1395
BMW 3 Series,74325,2007,0,Petrol,Saloon,2.0L,Manual,4,5,Euro 4,2495
Vauxhall Corsa,102329,2007,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,1498
Mazda Mazda2,97000,2008,2,Petrol,Hatchback,1.5L,Manual,5,5,Euro 4,2495
Vauxhall Insignia,113000,2011,0,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,1949
Vauxhall Corsa,84000,2014,3,Diesel,Hatchback,1.3L,Manual,5,5,Euro 5,2700
Renault Megane,43000,2007,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,1990
Renault Clio,92000,2006,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1400
Hyundai i20,100600,2010,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,1500
Ford Focus,100000,2012,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,2995
Peugeot 207,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,999
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Citroen C3,120000,2010,1,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,1300
Audi A6 Saloon,95000,2006,0,Petrol,Saloon,3.1L,Automatic,4,5,Euro 4,4250
Toyota Yaris,27682,2007,3,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,2999
BMW 1 Series,89900,2007,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,2495
Fiat 500,80742,2011,3,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,2499
SEAT Ibiza,55926,2008,3,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,2394
Hyundai i30,105000,2010,7,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1999
